secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating
"002623.XSHE","002623","XSHE",3,"中小板","CNY","亚玛顿","常州亚玛顿股份有限公司","L","2011-10-13",,"A","沪深A股","CHN",56980,160000000,160000000,160000000,"江苏省常州市天宁区青龙东路639号","光伏玻璃镀膜技术的研发以及光伏镀膜玻璃的生产和销售。"
"002624.XSHE","002624","XSHE",3,"中小板","CNY","金磊股份","浙江金磊高温材料股份有限公司","L","2011-10-28",,"A","沪深A股","CHN",54571,487706996,144238873,144238873,"浙江省湖州市德清县钟管镇龙山路117号","耐火材料制造及施工安装：建筑材料销售，经营进出口业务。（上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目）。"
"002625.XSHE","002625","XSHE",3,"中小板","CNY","龙生股份","浙江龙生汽车部件股份有限公司","L","2011-11-03",,"A","沪深A股","CHN",56684,300754194,181009658,181009658,"浙江省杭州市桐庐县富春江镇机械工业区","生产汽车内饰件，汽车零件；销售汽车内饰件，汽车零件，汽车（不含小轿车）普通机械，仪器仪表；货物及技术进出口业务（法律、法规禁止的项目除外，法律、法规限制的项目取得许可证后方可经营）。（上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目）。"
"002626.XSHE","002626","XSHE",3,"中小板","CNY","金达威","厦门金达威集团股份有限公司","L","2011-10-28",,"A","沪深A股","CHN",48644,288000000,286745859,286745859,"福建省厦门市海沧区新阳工业区阳光西路299号","保健食品制造；营养食品制造；食品添加剂制造；饲料添加剂制造；其他未列明食品制造；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。"
"002627.XSHE","002627","XSHE",3,"中小板","CNY","宜昌交运","湖北宜昌交运集团股份有限公司","L","2011-11-03",,"A","沪深A股","CHN",51807,133500000,130144200,130144200,"湖北省宜昌市港窑路5号","旅客运输服务、汽车经销两大领域，其中旅客运输服务为公司的核心业务，涵盖了道路客运、长江水上高速客运及汽车客运站、港口站务服务。"
"002628.XSHE","002628","XSHE",3,"中小板","CNY","成都路桥","成都市路桥工程股份有限公司","L","2011-11-03",,"A","沪深A股","CHN",56683,737416215,655814709,655814709,"四川省成都市武侯区武科东四路11号","公路、桥梁、隧道、市政工程、给排水工程，交通安全设施、机电通讯、绿化、公路维护保养；项目投资及项目建设管理服务。承包境外公路工程及境内国际招标工程及所需设备材料出口、对外派遣实施上述境外工程所需的劳务人员。房屋建筑施工、勘测设计。（以上项目国家法律、行政法规、国务院决定禁止或限制的除外，涉及资质的凭相关资质证经营）。"
"002629.XSHE","002629","XSHE",3,"中小板","CNY","仁智油服","四川仁智油田技术服务股份有限公司","L","2011-11-03",,"A","沪深A股","CHN",53370,274632000,218253794,218253794,"四川省绵阳市滨河北路东段116号","钻井、完井技术服务；井下作业技术服务；油气采输技术服务；环保工程技术服务；防腐、检测技术服务；油田化学品开发、生产、销售(不含易燃易爆易制毒品)；油田专用设备及工具的研发、生产、销售；新材料开发、生产、销售；国内进出口贸易(国家禁止的除外)。（以上经营范围涉及行政许可事项的需取得许可证后方可经营）。"
"002630.XSHE","002630","XSHE",3,"中小板","CNY","华西能源","华西能源工业股份有限公司","L","2011-11-11",,"A","沪深A股","CHN",36447,369000000,302941531,302941531,"四川省自贡市大安区黄家山66号","电站锅炉、特种锅炉、锅炉辅机，燃烧器及环保设备、钢结构、机械设备、吹灰器及管路系统的设计、制造、改造及销售；石油化工容器，轻工机械，电器机械、机组配套安装，专业生产耐火材料、耐磨材料、耐压材料，自控装置、电站阀门及电磁产品。"
"002631.XSHE","002631","XSHE",3,"中小板","CNY","德尔家居","德尔国际家居股份有限公司","L","2011-11-11",,"A","沪深A股","CHN",58353,324687000,320229000,320229000,"江苏省苏州市吴江区盛泽西环路499号德尔广场3号楼","林区“次、小、薪”材、竹材的综合利用新技术、新产品的开发与生产：各类地板、家具、木门、一体化橱柜；本公司自产产品的销售；生活空间的研究和设计；房屋租赁；场地出租；室内外装饰工程施工；造林及林木抚育与管理；自营和代理各类商品及技术的进出口业务。"
"002632.XSHE","002632","XSHE",3,"中小板","CNY","道明光学","道明光学股份有限公司","L","2011-11-22",,"A","沪深A股","CHN",60044,138671000,138281000,138281000,"浙江省金华市永康市象珠镇象珠工业区3号迎宾大道1号","一般经营项目：反光材料、反光服、五金制品、交通标牌、交通安全设施的制造、加工；经营进出口业务。"
